:Id;Manufacturer:Link;ArticleNo;ArtNo;TecDoc.ArtNo;TecDoc.Link;:Id;:Id;ArticleID;ManufacturerArticleNo;Manufacturer:Link;K24Number
9BDCD07F-31EF-4C1F-9A9A-221EAE1BB534;536;VANWEZEL-06005192;06005192;06005192;VANWEZEL-06005192;9634F56B-0E69-4D36-B225-000215F1864F;9634F56B-0E69-4D36-B225-000215F1864F;57487;1730-0810;9VAN;1730-0810
10EAC84B-9376-48BF-B095-43D8B77EF8A7;550;SKF-VKMA 32004;VKMA 32004;VKMA 32004;SKF-VKMA 32004;3E2EF41F-709F-4FB6-946E-0002240C25EF;3E2EF41F-709F-4FB6-946E-0002240C25EF;325558;VKMA 32004;SKF;1810-17731
764928AA-1B6E-4583-BC15-49729F163971;2141;AJUSA-00748900;00748900;00748900;AJUSA-00748900;16EFD6EE-36C7-4E13-851A-0002249E7146;16EFD6EE-36C7-4E13-851A-0002249E7146;599812;1610-39981;9AJU;1610-39981
6E626092-0FBE-4E7C-9870-F3970922FA9E;2746;TOPRAN-111 622;111 622;111 622;TOPRAN-111 622;89E86933-D890-4AAE-86B5-0002809E5EE0;89E86933-D890-4AAE-86B5-0002809E5EE0;230675;111 622;TON;1260-4399
3B0AC195-4E27-4BE5-9097-0D012842638C;622;QUINTONHAZELL-QTB205;QTB205;QTB205;QUINTONHAZELL-QTB205;E21CA042-E7D9-492C-A4AD-00028C2C7A97;E21CA042-E7D9-492C-A4AD-00028C2C7A97;1135371;QTB205;QUI;1820-100964
5872D576-DF85-41C8-B888-5420B23FBB30;501;SPIDAN-55168;55168;55168;SPIDAN-55168;7DD171CA-38AF-40C5-8424-00028F0DB94D;7DD171CA-38AF-40C5-8424-00028F0DB94D;1010918;55168;SPI;1540-16521
6EEB7FD9-377F-46C0-8EC5-C28C7ADB7BC7;622;QUINTONHAZELL-EM4117;EM4117;EM4117;QUINTONHAZELL-EM4117;CAB120FC-BF88-4891-8785-00028FAF5C43;CAB120FC-BF88-4891-8785-00028FAF5C43;635296;1630-1701;9QUI;1630-1701
73B48DAF-C281-4956-A83F-5E5024FDEFA3;2746;TOPRAN-110 673;110 673;110 673;TOPRAN-110 673;3D0F7016-DA07-43EE-8593-0002B818D4FC;3D0F7016-DA07-43EE-8593-0002B818D4FC;1230065;2270-103133;DIV;2270-103133
CC7CC491-545E-4615-BBE5-D94EED282361;509;VICTORREINZ-01-27190-03;01-27190-03;01-27190-03;VICTORREINZ-01-27190-03;FC3147AB-73FE-46D2-AD23-0002C5A5FA60;FC3147AB-73FE-46D2-AD23-0002C5A5FA60;456673;01-27190-03;REI;1610-21111
D15AF563-A67C-4C05-8CCF-5C49C5B0BE4C;1410;KYB-SM1527;SM1527;SM1527;KYB-SM1527;3A1F36E7-A2AB-46D8-8B2F-0002D9194C25;3A1F36E7-A2AB-46D8-8B2F-0002D9194C25;1093592;SM1527;KYB;1540-100305
