Genart-Nr	Genart-Desc-DE	Genart-Desc-EN	BauGruppe-DE	BauGruppe-EN	ART-Bezeichng-DE	ART-Bezeichng-EN	Verwendungszweck-DE	Verwendungszweck-EN	K24-Bezeichng	IsUniversalGenericArticle	IsDangerousGoods	IsHazardousSubstance	DataSupplier:Link
2364	20°-Kolbenlehre	20° Piston Position Template	Werkzeug, Universal	Tool, universal	Lehre	Feeler Gauge	20 Grad Kolbeneinstellung	20° Piston Adjustment	Werkzeuge sonstiges	1	0	0	Tec Doc
2373	4-Kant-Schlüssel, Bremsbacken-Exzenter	Square Key, brake shoe eccentric	Werkzeug, Universal	Tool, universal	4-Kant-Schlüssel	Square Key	Bremsbacken-Exzenter	Brake Shoe Eccentric	Werkzeuge sonstiges	1	0	0	Tec Doc
4903	4-Kant-Schlüssel, Kombi-Instrument	Square Key, instrument cluster	Werkzeug, Universal	Tool, universal	4-Kant-Schlüssel	Square Key	Kombi-Instrument	Instrument Cluster	Handwerkzeuge	1	0	0	Tec Doc
3682	Abbiegescheinwerfer	Cornering Light	Beleuchtung, Universal	Lighting System, universal	Scheinwerfer	Headlight	Abbiegescheinwerfer	Cornering Light	Scheinwerfer	1	0	0	Tec Doc
3780	Abbiegescheinwerfersatz	Cornering Light Set	Beleuchtung	Lights	Scheinwerfersatz	Headlight set	Abbiegescheinwerfer	Cornering Light	Scheinwerfer	0	0	0	Tec Doc
3781	Abbiegescheinwerfersatz	Cornering Light Set	Beleuchtung, Universal	Lighting System, universal	Scheinwerfersatz	Headlight set	Abbiegescheinwerfer	Cornering Light	Scheinwerfer	1	0	0	Tec Doc
10502	Abbrechklingenmesser	Cutter knife	Scheren & Messer	Scheren & Messer	Scheren & Messer	Scheren & Messer	NULL	NULL	Handwerkzeuge	1	0	0	DVSE
6749	Abbrechklingensatz, Cutter	Snap-off Blade Set, cutter	Werkzeug, Universal	Tool, universal	Abbrechklingensatz	Snap-off Blade Set	Cutter	Cutter	Handwerkzeuge	1	0	0	Tec Doc
25955	Abdeckband	masking tape	NULL	NULL	Klebeband universal	Klebeband universal	NULL	NULL	Kleben & Dichten	1	0	0	DVSE
2247	Abdeckblech, Bremssattel	Cover, brake caliper	Bremsanlage	Braking System	Blech	Shield	Bremssattel	Brake Caliper	Bremssattel Einzelteile	0	0	0	Tec Doc
1661	Abdeckblech, Bremstrommel	Cover Sheet, brake drum	Bremsanlage	Braking System	Blech	Shield	Bremstrommel	Brake Drum	Bremsenteile sonstiges	0	0	0	Tec Doc
2990	Abdeckblech, Staubschutz-Radlager	Cover Plate, dust-cover wheel bearing	Radaufhängung	Wheel Suspension	Blech	Shield	Staubschutz-Radlager	Dust Cover, wheel bearing	Fahrwerk sonstiges	0	0	0	Tec Doc
5904	Abdeckhaube Füll-/Entlüftungsgerät (Bremshydraulik)	Cover, fill/bleeding unit (brake hydraulics)	Werkstattausrüstung	Workshop Equipment	Abdeckung	Cover	Füll-/Entlüftungsgerät (Bremshydraulik)	Filler/Bleeder Unit, (brake hydraulics)	Werkstattaus-/einrichtung sonstiges	1	0	0	Tec Doc
4257	Abdeckkappe, Federträgerachse	Protecting Cap, spring support axle	Federung/Dämpfung	Suspension/Damping	Kappe	Cap	Federträgerachse	Spring Support Axle	Federung sonstiges	0	0	0	Tec Doc
2812	Abdeckkappe, Regensensor	Cover, rain sensor	Komfortsysteme, Universal	Comfort Systems, universal	Kappe	Cap	Regensensor	Rain Sensor	elektrische Bauteile sonstiges	1	0	0	Tec Doc
2279	Abdeckkappe, Regensensor	Cover, rain sensor	Komfortsysteme	Comfort Systems	Kappe	Cap	Regensensor	Rain Sensor	elektrische Bauteile sonstiges	0	0	0	Tec Doc
4664	Abdeckkappe, Serviceventil	Cover Cap, service valve	Klimaanlage, Universal	Air Conditioning, universal	Kappe	Cap	Serviceventil	Service Valve	Einzel- und Kleinteile Heizung & Klima	1	0	0	Tec Doc
6116	Abdeckkappe, Steckgehäuse	Cover Cap, plug housing	Elektrische Universalteile	Electric Universal Parts	Kappe	Cap	Steckgehäuse	Plug Housing	Installationsmaterial	1	0	0	Tec Doc
3559	Abdeckkappe, Türgriff	Cover, door handle	Schließanlage	Lock System	Kappe	Cap	Türgriff	Door Handle	Türgriff	0	0	0	Tec Doc
11842	Abdeckkappen für Anhängevorrichtung PKW	Trailer tow-bar cap	NULL	NULL	Abdeckkappen für Anhängevorrichtung PKW	NULL	NULL	NULL	Zubehör sonstiges	1	0	0	DVSE
26001	Abdeckpapier	Abdeckpapier	Karosserie / Lack	Karosserie / Lack	Papier	Papier	NULL	NULL	Abdecken und Reinigen	1	0	0	DVSE
60148	Abdeckrahmen, Ladestation (Elektrofahrzeug)	Cover frame, charging station (electric vehicle)	Hybrid-/Elektroantrieb	Hybrid/Electrical Drive	Rahmen	Frame	Ladestation (Elektrofahrzeug)	Charging station (electric vehicle)	elektrische Bauteile sonstiges	0	NULL	NULL	DVSE
2751	Abdeckring, Bremsbackenbolzenbohrung	Cover Ring, brake-shoe pin bore	Bremsanlage	Braking System	Abdeckring	Covering Ring	Bremsbackenbolzenbohrung	Brake-shoe Pin Bore	Bremsenteile sonstiges	0	0	0	Tec Doc
2112	Abdeckring, Gelenkwellenmittellager	Cover Ring, propshaft centre bearing	Achsantrieb	Axle Drive	Abdeckring	Covering Ring	Gelenkwellenmittellager	Propshaft Centre Bearing	Kardanwelle / -teile	0	0	0	Tec Doc
7110	Abdeckscheibe, Exzenterschleifer	Cover Disc, random orbit sander	Werkzeug, Universal	Tool, universal	Abdeckscheibe	Cover Disc	Exzenterschleifer	Eccentric Grinder	Handwerkzeuge	1	0	0	Tec Doc
9250	Abdeckscheibe, Tiefenschleifer	Cover Disc, extended grinder	Werkzeug, Universal	Tool, universal	Abdeckscheibe	Cover Disc	Tiefenschleifer	Extended Grinder	Mittelkonsole	1	0	0	Tec Doc
6284	Abdecktuch	Cover Cloth	Werkstattausrüstung	Workshop Equipment	Abdecktuch	Cover Cloth	NULL	NULL	Werkstattaus-/einrichtung sonstiges	1	0	0	Tec Doc
1447	Abdeckung	Cover	NULL	NULL	Abdeckung	Cover	NULL	NULL	Karosserie Montageteile	0	0	0	Tec Doc
4806	Abdeckung, Abschlepphaken	Cover, tow hook	Karosserie, Universal	Body Parts, universal	Abdeckung	Cover	Abschlepphaken	Tow Hook	Karosserieteile sonstiges	1	0	0	Tec Doc
4687	Abdeckung, Ausrücklagerwelle-Kupplung	Cover, clutch release bearing shaft	Kupplung	Clutch	Abdeckung	Cover	Ausrücklagerwelle	Releaser Shaft	Kupplung sonstiges	0	0	0	Tec Doc
3257	Abdeckung, Außenspiegel	Cover, outside mirror	Fahrerhaus	Driver Cab	Abdeckung	Cover	Außenspiegel	Outside Mirror	Fahrerhaus sonstiges	0	0	0	Tec Doc
23	Abdeckung, Außenspiegel	Cover, outside mirror	Karosserie	Body	Abdeckung	Cover	Außenspiegel	Outside Mirror	Fahrzeugspiegel aussen	0	0	0	Tec Doc
3830	Abdeckung, Außenspiegelhalter	Cover, external mirror holder	Karosserie	Body	Abdeckung	Cover	Außenspiegelhalter	Outside Mirror Holder	Karosserieteile sonstiges	0	0	0	Tec Doc
4380	Abdeckung, Batteriepolklemme	Cover, battery post clamp	Elektrische Universalteile	Electric Universal Parts	Abdeckung	Cover	Batteriepolklemme	Battery Post Clamp	Zubehör Batterien	1	0	0	Tec Doc
5007	Abdeckung, Bremsnockenwelle	Cover, brake camshaft	Bremsanlage	Braking System	Abdeckung	Cover	Bremsnockenwelle	Brake Camshaft	Bremsenteile sonstiges	0	0	0	Tec Doc
15820	Abdeckung, Dachträgeraufnahme	Cover, roof carrier mount	Karosserie	Body	Abdeckung	Cover	Dachträger	Roof Rack	Transportsysteme sonstiges	0	0	0	DVSE
3703	Abdeckung, Drehstab	Cover, torsion bar	Radaufhängung	Wheel Suspension	Abdeckung	Cover	Drehstab	Torsion Bar	Fahrwerk sonstiges	0	0	0	Tec Doc
3889	Abdeckung, Einspritzdüse	Cover, injector nozzle	Gemischaufbereitung	Mixture Formation	Abdeckung	Cover	Einspritzdüse	Injector Nozzle	Einspritzanlage	0	0	0	Tec Doc
4403	Abdeckung, Frischluftkanal (Innenraumluft)	Cover, fresh air conduit (passenger compartment air)	Karosserie	Body	Abdeckung	Cover	Frischluftkanal (Innenraumluft)	Fresh Air Conduit (passenger compartment air)	Luftführung	0	0	0	Tec Doc
1558	Abdeckung, Frontschürze	Cover, front apron	Karosserie	Body	Abdeckung	Cover	Frontschürze	Front Apron	Karosserie Montageteile	0	0	0	Tec Doc
1346	Abdeckung, Griffmulde	Cover, handle recess	Karosserie	Body	Abdeckung	Cover	Griffmulde	Handle Recess	Karosserie Montageteile	0	0	0	Tec Doc
3699	Abdeckung, Handbremshebel	Cover, hand brake lever	Bremsanlage	Braking System	Abdeckung	Cover	Handbremshebel	Hand Brake Lever	Innenausstattung	0	0	0	Tec Doc
7204	Abdeckung, Handleuchte	Cover, hand lamp	Werkstattausrüstung	Workshop Equipment	Abdeckung	Cover	Handleuchte	Hand Lamp	Werkstattaus-/einrichtung sonstiges	1	0	0	Tec Doc
6119	Abdeckung, Kabelverbindungsdose	Cover, cable connector box	Elektrische Universalteile	Electric Universal Parts	Abdeckung	Cover	Kabelverbindungsdose	Cable Junction Box	Installationsmaterial	1	0	0	Tec Doc
4398	Abdeckung, Kippzylinder-Fahrerhaus	Cover, driver cab tilt cylinder	Fahrerhaus	Driver Cab	Abdeckung	Cover	Kippzylinder	Tilt Cylinder	Fahrerhaus sonstiges	0	0	0	Tec Doc
8007	Abdeckung, Lenkrad	Cover, steering wheel	Lenkung	Steering	Abdeckung	Cover	Lenkrad	Steering Wheel	Zubehör sonstiges	0	0	0	Tec Doc
5093	Abdeckung, Mittelkonsole	Cover, centre console	Innenausstattung	Interior Equipment	Abdeckung	Cover	Mittelkonsole	Centre Console	Mittelkonsole	0	0	0	Tec Doc
4796	Abdeckung, Reifenventil	Tyre Valve Cap	Räder, Universal	Wheels, universal	Abdeckung	Cover	Reifenventil	Tyre valve	Ventile Räder	1	0	0	Tec Doc
3615	Abdeckung, Schauloch (Bremsbelagverschleiß)	Cover, inspection hole (brake pad wear)	Bremsanlage	Braking System	Abdeckung	Cover	Schauloch (Bremsbelagverschleiß)	Inspection Hole (brake pad wear)	Bremsenteile sonstiges	0	0	0	Tec Doc
300098	Abdeckung, Scheibenwaschdüse	Cover, windscreen washer nozzle	NULL	NULL	Abdeckung, Scheibenwaschdüse	NULL	NULL	NULL	Wischerzubehör	1	0	0	K24
1511	Abdeckung, Scheinwerfer	Cover, light	Karosserie	Body	Abdeckung	Cover	Scheinwerfer	Headlight	Karosserie Montageteile	0	0	0	Tec Doc
3386	Abdeckung, Spiegelsystem	Cover, mirror system	Karosserie	Body	Abdeckung	Cover	Spiegelsystem	Mirror System	Karosserieteile sonstiges	0	0	0	Tec Doc
6120	Abdeckung, Steckdose	Cover, power socket	Elektrische Universalteile	Electric Universal Parts	Abdeckung	Cover	Steckdose	Socket	Installationsmaterial	1	0	0	Tec Doc
3631	Abdeckung, Umlenk-/Führungsrolle (Keilrippenriemen)	Cover, deflection/guide pulley (V-ribbed belt)	Riementrieb	Belt Drive	Abdeckung	Cover	Keilrippenriemenumlenkung/-führung	V-Ribbed Belt Guidance/Deflection	Riementrieb sonstiges	0	0	0	Tec Doc
22	Abdeckung, Wasserkasten	Cover, water tank	Karosserie	Body	Abdeckung	Cover	Wasserkasten	Water Tank	Karosserieteile sonstiges	0	0	0	Tec Doc
3256	Abdeckung, Weitwinkelspiegel	Cover, wide angle mirror	Fahrerhaus	Driver Cab	Abdeckung	Cover	Weitwinkelspiegel	Wide-Angle Mirror	Fahrerhaus sonstiges	0	0	0	Tec Doc
60142	Abdeckung, Werkzeugwagen	Cover, tool trolley	Werkstattausrüstung	Workshop Equipment	Abdeckung	Cover	Werkzeugwagen	Tool Trolley	Werkstattaus-/einrichtung sonstiges	1	NULL	NULL	DVSE
3308	Abdeckung, Zahnriemen	Cover, timing belt	Riementrieb	Belt Drive	Abdeckung	Cover	Zahnriemen	Timing Belt	Riementrieb sonstiges	0	0	0	Tec Doc
8552	Abfalleimer	Waste Bin	Werkstattausrüstung	Workshop Equipment	Abfalleimer	Waste Bin	NULL	NULL	Werkstattaus-/einrichtung sonstiges	1	0	0	Tec Doc
5435	Abfüllbock	Filling Stand	Werkstattausrüstung	Workshop Equipment	Abfüllbock	Filling Stand	NULL	NULL	Werkstattaus-/einrichtung sonstiges	1	0	0	Tec Doc
5185	Abfüllhahn, Batteriesäure	Filling Tap, battery acid	Werkstattgeräte	Workshop Devices	Ventil	Valve	Batteriesäure	Battery Acid	Batterieladegeräte,-tester, -booster	1	0	0	Tec Doc
2348	Abfüllhahn, Bremsflüssigkeit	Filler Tap, brake fluid	Werkstattgeräte	Workshop Devices	Ventil	Valve	Bremsflüssigkeitsabfüllung	Filler, brake fluid	Werkstattaus-/einrichtung sonstiges	1	0	0	Tec Doc
26	Abgasanlage	Exhaust System	Abgasanlage	Exhaust System	Abgasanlage	Exhaust System	NULL	NULL	Schalldämpfer	0	0	0	Tec Doc
2008	Abgasdiagnosegerät	Emission Diagnosis Equipment	Werkstattgeräte	Workshop Devices	Diagnosegerät	Diagnosis Unit	Abgas	Exhaust Emission	Werkstattaus-/einrichtung sonstiges	1	0	0	Tec Doc
1418	Abgasklappe	Exhaust Gas Door	Abgasanlage	Exhaust System	Abgasklappe	Exhaust Gas Flap	NULL	NULL	Abgasanlage sontiges	0	0	0	Tec Doc
538	Abgasklappe, Motorbremse	Exhaust Gas Flap, engine brake	Bremsanlage	Braking System	Abgasklappe	Exhaust Gas Flap	Motorbremse	Engine Brake	Bremsenteile sonstiges	0	0	0	Tec Doc
16480	Abgaskrümmer	Exhaust manifold	NULL	NULL	Abgaskrümmer	Exhaust Manifold	NULL	NULL	Abgaskrümmer	1	0	0	DVSE
2007	Abgasmessgerät	Exhaust Gas Analyzer	Werkstattgeräte	Workshop Devices	Messgerät	Measuring Device	Abgas	Exhaust Emission	Prüf- und Testgeräte	1	0	0	Tec Doc
17	Abgasrohr	Exhaust Pipe	Abgasanlage	Exhaust System	Rohr	Tube	NULL	NULL	Rohre	0	0	0	Tec Doc
4329	Abgasrohr, Universal	Exhaust Pipe, universal	Abgasanlage, Universal	Exhaust System, universal	Rohr	Tube	NULL	NULL	Rohre	1	0	0	Tec Doc
6176	Abisolierwerkzeug	Wire Stripping Tools	Werkzeug, Universal	Tool, universal	Abisolierwerkzeug	Wire Stripping Tools	abisolieren	strip	Handwerkzeuge	1	0	0	Tec Doc
10712	Abisolierwerkzeug	Wire stripper	Abisolierwerkzeug	Abisolierwerkzeug	Abisolierwerkzeug	Abisolierwerkzeug	Abisolierwerkzeug	Abisolierwerkzeug	Handwerkzeuge	1	0	0	DVSE
4169	Abisolierzange	Cable stripper	Werkzeug, Universal	Tool, universal	Zange	Pliers	abisolieren	strip	Handwerkzeuge	1	0	0	Tec Doc
10540	Abisolierzange	Insulation stripper	Zangen	Zangen	Zangen	Zangen	NULL	NULL	Handwerkzeuge	1	0	0	DVSE
10996	Abklemmzange (Schlauch)	Hose pinch-off plier	Kühlsystem-Werkzeuge	Kühlsystem-Werkzeuge	Abklemmzange für Schläuche	Abklemmzange für Schläuche	NULL	NULL	Handwerkzeuge	1	0	0	DVSE
6826	Ablage, Zylinderkopf-Komponenten	Tray, cylinder head components	Werkstattausrüstung	Workshop Equipment	Ablage	Tray	Zylinderkopf-Komponenten	Cylinder Head Components	Werkstattaus-/einrichtung sonstiges	1	0	0	Tec Doc
6730	Ablageboden, Werkzeuglochtafel	Tray Base, tool pegboard	Werkstattausrüstung	Workshop Equipment	Ablageboden	Tray Base	Werkzeuglochtafel	Tool Board	Werkstattaus-/einrichtung sonstiges	1	0	0	Tec Doc
19109	Ablagefach	Storage pocket	NULL	NULL	Ablagefach	Ablagefach	NULL	NULL	Zubehör sonstiges	1	0	0	DVSE
6783	Ablagefach, Werkzeugwagen	Storage Tray, workshop trolley	Werkstattausrüstung	Workshop Equipment	Ablagefach	Storage Tray	Werkzeugwagen	Tool Trolley	Werkstattaus-/einrichtung sonstiges	1	0	0	Tec Doc
8110	Abmantelungswerkzeug	Strippers	Werkzeug, Universal	Tool, universal	Abmantelungswerkzeug	Strippers	NULL	NULL	Handwerkzeuge	1	0	0	Tec Doc
7643	Abreißseil, Auflaufeinrichtung	Break-away Cable, overrun brake	Anhänger	Trailer	Abreißseil	Break-away Cable	Auflaufeinrichtung	Overrun Brake	Anhänger	1	0	0	Tec Doc
6923	Abrollgriff, Lenkradschoner	Hand Dispenser, steering wheel cover	Werkstattausrüstung	Workshop Equipment	Abrollgriff	Hand Dispenser	Lenkradschoner	Steering Wheel Cover	Werkstattaus-/einrichtung sonstiges	1	0	0	Tec Doc
4070	Abrollkolben, Luftfederbalg	Roller Piston, air spring bellow	Federung/Dämpfung	Suspension/Damping	Kolben	Piston	Luftfederbalg	Air Spring Bellow	Luftfederung	0	0	0	Tec Doc
2340	Absaugbalg, Bremsflüssigkeit	Suction Balloon, brake fluid	Werkstattgeräte	Workshop Devices	Balg	Gaiter	Bremsflüssigkeitsabsaugung	Brake Fluid Siphoning	Werkstattaus-/einrichtung sonstiges	1	0	0	Tec Doc
9559	Absauggerät, Kältemittel	Suction Device, refrigerant	Werkstattausrüstung	Workshop Equipment	Absauggerät	Siphon	Klimaanlage	Air Conditioning	Werkstattaus-/einrichtung sonstiges	1	0	0	Tec Doc
4330	Absaugpumpe, Füll-/Entlüftungsgerät (Bremshydraulik)	Suction Pump, fill-/bleed unit (brake hydraulics)	Werkstattgeräte	Workshop Devices	Pumpe	Pump	Füll-/Entlüftungsgerät (Bremshydraulik)	Filler/Bleeder Unit, (brake hydraulics)	Werkstattaus-/einrichtung sonstiges	1	0	0	Tec Doc
2025	Absaugvorrichtung, Einspritzdüsenprüfgerät	Suction Device, injection nozzle tester	Werkstattgeräte	Workshop Devices	Absauggerät	Siphon	Einspritzdüsenprüfgerät	Injector Nozzle Tester	Prüf- und Testgeräte	1	0	0	Tec Doc
2286	Abschirmhaube, Zündverteiler	Shield, distributor	Zündanlage	Ignition System	Haube	Cover	Zündverteiler	Distributor	Zünd-/Glühanlage sonstiges	0	0	0	Tec Doc
5788	Abschlagdorn, Nockenwellenzahnrad	Removal Drift, camshaft sprocket	Werkzeug, fahrzeugspezifisch	Vehicle Specific Tools	Abschlagdorn	Removal Drift	Nockenwellenzahnrad	Camshaft Sprocket	Werkzeuge sonstiges	0	0	0	Tec Doc
23494	Abschlepphaken	Abschlepphaken	NULL	NULL	Abschlepphaken	Abschlepphaken	NULL	NULL	Zubehör sonstiges	0	0	0	DVSE
1548	Abschleppseil	Tow Cable	Zubehör, Universal	Accessories, universal	Seil	Cable	Abschlepphilfe	Towing Aid	Zubehör sonstiges	1	0	0	Tec Doc
6085	Abschleppstange	Tow Bar	Zubehör, Universal	Accessories, universal	Stange	Rod	Abschlepphilfe	Towing Aid	Zubehör sonstiges	1	0	0	Tec Doc
6547	Absetzzange	Bevelling Pliers	Spezialwerkzeug, Universal	Special Tools, universal	Absetzzange	Bevelling Pliers	NULL	NULL	Werkzeuge sonstiges	1	0	0	Tec Doc
11156	Absetzzange	Flange tool (Pliers)	Karosseriewerkzeuge	Karosseriewerkzeuge	Absetzzange	Absetzzange	NULL	NULL	Handwerkzeuge	1	0	0	DVSE
5723	ABS-Kontrollleuchte	ABS Control Light	Instrumente, Universal	Instruments, universal	Anzeige	Gauge	ABS-Kontrollleuchte	ABS Control Light	Anzeigen Innenraum	1	0	0	Tec Doc
6387	Absperrband	Barrier Tape	Werkstattausrüstung	Workshop Equipment	Absperrband	Barrier Tape	NULL	NULL	Werkstattaus-/einrichtung sonstiges	1	0	0	Tec Doc
4128	Absperrgitter, Koffer-/Laderaum	Barrier Mesh, boot-/cargo area	Zubehör, Universal	Accessories, universal	Gitter	Grille	Koffer-/Laderaum	Boot-/Cargo Area	Innenausstattung	1	0	0	Tec Doc
1549	Absperrgitter, Koffer-/Laderaum	Barrier Mesh, boot-/cargo area	Zubehör	Accessories	Gitter	Grille	Koffer-/Laderaum	Boot-/Cargo Area	Innenausstattung	0	0	0	Tec Doc
377	Absperrhahn	Shut-Off Cock	Druckluftanlage	Compressed-air System	Absperrhahn	Shut-Off Cock	NULL	NULL	Druckluftanlage sonstiges	0	0	0	Tec Doc
3671	Absperrhahn, Füll-/Entlüftungsgerät (Bremshydraulik)	Shut-off Cock, filling / bleeding tool (brake hydraulics)	Werkstattgeräte	Workshop Devices	Absperrhahn	Shut-Off Cock	Füll-/Entlüftungsgerät (Bremshydraulik)	Filler/Bleeder Unit, (brake hydraulics)	Werkstattaus-/einrichtung sonstiges	1	0	0	Tec Doc
5719	Absperrklappe, Heizungsregulierung	Butterfly Valve, heating control	Heizung/Lüftung	Heating/Ventilation	Klappe	Lid	Heizungsregulierung	Heater Control	Einzel- und Kleinteile Heizung & Klima	0	0	0	Tec Doc
1995	ABS-Prüfgerät	ABS Tester	Werkstattgeräte	Workshop Devices	Prüfgerät	Tester	ABS	ABS	Prüf- und Testgeräte	1	0	0	Tec Doc
9216	Abstandshalter	Spacer	Zubehör, Universal	Accessories, universal	Abstandshalter	Spacer	NULL	NULL	Zubehör sonstiges	1	0	0	Tec Doc
9911	Abstech-/Anfasgrundgerät	Cutting/Chamfering Base Device	Werkzeug, Universal	Tool, universal	Abstech-/Anfasgrundgerät	Cutting/Chamfering Base Device	NULL	NULL	Werkzeuge sonstiges	1	NULL	NULL	Tec Doc
9913	Abstechpistole	Cutting Gun	Werkzeug, Universal	Tool, universal	Abstechpistole	Cutting Gun	NULL	NULL	Werkzeuge sonstiges	1	NULL	NULL	Tec Doc
3890	Abstellvorrichtung, Einspritzanlage	Fuel Cut-off, injection system	Gemischaufbereitung	Mixture Formation	Abstellvorrichtung	Cut-Off	NULL	NULL	Einspritzanlage	0	0	0	Tec Doc
3755	Abstreifer	Scraper	NULL	NULL	Abstreifer	Scraper	NULL	NULL	Zubehör sonstiges	0	0	0	Tec Doc
9269	Abstützplatte, Ein-/Auspresswerkzeug-Satz	Support Plate, press-fit/extraction tool set	Werkzeug, fahrzeugspezifisch	Vehicle Specific Tools	Abstützplatte	Support Plate	Ein-/Auspresswerkzeug-Satz	Press-fit/Extraction Tools	Werkzeuge sonstiges	0	0	0	Tec Doc
3073	Abstützscheibe, Ventilstößel	Support Plate, tappet	Motorsteuerung	Engine Timing	Abstützscheibe	Support Plate	Ventilstößel	Tappet	Ventiltrieb	0	0	0	Tec Doc
7235	Abstützvorrichtung, Drehmomentvervielfältiger	Support Device, torque multiplier	Werkzeug, Universal	Tool, universal	Abstützvorrichtung	Support Device	Drehmomentvervielfältiger	Torque Multiplier	Handwerkzeuge	1	0	0	Tec Doc
5789	Abstützvorrichtung, Getriebeheber	Support Device, transmission jack	Werkstattausrüstung	Workshop Equipment	Abstützvorrichtung	Support Device	Getriebeheber	Transmission Jack	Werkstattaus-/einrichtung sonstiges	1	0	0	Tec Doc
672	ABS-Verbindungskabel	Connecting Cable, ABS	Bremsanlage	Braking System	Elektroleitung	Electric Cable	ABS	ABS	Bremsenteile sonstiges	0	0	0	Tec Doc
5163	ABS-Verbindungskabel	Connecting Cable, ABS	Bremsanlage, Universal	Braking System, universal	Elektroleitung	Electric Cable	ABS	ABS	Kabel/Kabelsätze	1	0	0	Tec Doc
10729	Abzieher (Lenkrad)	Steering wheel puller	Karosserie / Innenausstattung	Karosserie / Innenausstattung	Abzieher	Abzieher	NULL	NULL	Handwerkzeuge	1	0	0	DVSE
10742	Abzieher (Scheibenwischerarm)	Wiper arm puller	Karosserie / Innenausstattung	Karosserie / Innenausstattung	Abzieher	Abzieher	NULL	NULL	Handwerkzeuge	1	0	0	DVSE
4561	Abzieher, Antriebswellengelenk	Puller, drive shaft joint	Werkzeug, Universal	Tool, universal	Abzieher	Puller	Antriebswellengelenk	Drive Shaft Joint	Handwerkzeuge	1	0	0	Tec Doc
9413	Abzieher, Ausgleichswelle	Puller, balancer shaft	Werkzeug, fahrzeugspezifisch	Vehicle Specific Tools	Abzieher	Puller	Ausgleichswelle	Balance Shaft	Werkzeuge sonstiges	0	0	0	Tec Doc
9463	Abzieher, Ausrückwelle	Puller, release shaft	Werkzeug, fahrzeugspezifisch	Vehicle Specific Tools	Abzieher	Puller	Kupplung	Clutch	Werkzeuge sonstiges	0	0	0	Tec Doc
7795	Abzieher, Batteriepolklemme	Puller, battery terminal clamp	Werkzeug, Universal	Tool, universal	Abzieher	Puller	Batteriepolklemme	Battery Post Clamp	Zubehör Batterien	1	0	0	Tec Doc
6683	Abzieher, Bremsgestängesteller	Puller, brake slack adjuster	Spezialwerkzeug, Universal	Special Tools, universal	Abzieher	Puller	Bremsgestängesteller	Brake Slack Adjuster	Werkzeuge sonstiges	1	0	0	Tec Doc
4514	Abzieher, Einspritzpumpenzahnrad	Puller, injector pump gear	Werkzeug, fahrzeugspezifisch	Vehicle Specific Tools	Abzieher	Puller	Einspritzpumpenzahnrad	Injector Pump Gear	Werkzeuge sonstiges	0	0	0	Tec Doc
5860	Abzieher, Einspritzpumpenzahnrad	Puller, injector pump gear	Spezialwerkzeug, Universal	Special Tools, universal	Abzieher	Puller	Einspritzpumpenzahnrad	Injector Pump Gear	Werkzeuge sonstiges	1	0	0	Tec Doc
4530	Abzieher, Glühkerze	Puller, glow plug	Werkzeug, fahrzeugspezifisch	Vehicle Specific Tools	Abzieher	Puller	Glühkerze	Glow Plug	Werkzeuge sonstiges	0	0	0	Tec Doc
4550	Abzieher, Kugelgelenk	Puller, ball joint	Werkzeug, fahrzeugspezifisch	Vehicle Specific Tools	Abzieher	Puller	Kugelgelenk	Ball Joint	Werkzeuge sonstiges	0	0	0	Tec Doc
4551	Abzieher, Kugelgelenk	Puller, ball joint	Werkzeug, Universal	Tool, universal	Abzieher	Puller	Kugelgelenk	Ball Joint	Handwerkzeuge	1	0	0	Tec Doc
7201	Abzieher, Kühlerlüfter	Puller, cooler fan	Spezialwerkzeug, Universal	Special Tools, universal	Abzieher	Puller	Kühlerlüfter	Radiator Fan	Werkzeuge sonstiges	1	0	0	Tec Doc
2636	Abzieher, Kupplung	Puller, clutch	Werkzeug, Universal	Tool, universal	Abzieher	Puller	Kupplung	Clutch	Handwerkzeuge	1	0	0	Tec Doc
5811	Abzieher, Lenkrad	Puller, steering wheel	Werkzeug, Universal	Tool, universal	Abzieher	Puller	Lenkrad	Steering Wheel	Handwerkzeuge	1	0	0	Tec Doc
5820	Abzieher, Lenkrad-Distanzhülse	Puller, steering wheel spacer sleeve	Werkzeug, Universal	Tool, universal	Abzieher	Puller	Lenkrad-Distanzhülse	Steering Wheel Spacer Sleeve	Handwerkzeuge	1	0	0	Tec Doc
4549	Abzieher, Lenkrad-Distanzhülse	Puller, steering wheel spacer sleeve	Werkzeug, fahrzeugspezifisch	Vehicle Specific Tools	Abzieher	Puller	Lenkrad-Distanzhülse	Steering Wheel Spacer Sleeve	Werkzeuge sonstiges	0	0	0	Tec Doc
5859	Abzieher, Lenkstockhebel	Puller, steering column stalk	Spezialwerkzeug, Universal	Special Tools, universal	Abzieher	Puller	Lenkstockhebel	Pitman Arm	Werkzeuge sonstiges	1	0	0	Tec Doc
4451	Abzieher, Nockenwellenrad	Puller, camshaft gear	Werkzeug, fahrzeugspezifisch	Vehicle Specific Tools	Abzieher	Puller	Nockenwellenrad	Cam Gear	Werkzeuge sonstiges	0	0	0	Tec Doc
6681	Abzieher, Nockenwellenrad	Puller, camshaft gear	Spezialwerkzeug, Universal	Special Tools, universal	Abzieher	Puller	Nockenwellenrad	Cam Gear	Werkzeuge sonstiges	1	0	0	Tec Doc
