Genart-Nr	Genart-Desc-DE	Genart-Desc-EN	BauGruppe-DE	BauGruppe-EN	ART-Bezeichng-DE	ART-Bezeichng-EN	Verwendungszweck-DE	Verwendungszweck-EN	K24-Bezeichng	IsUniversalGenericArticle	IsDangerousGoods	IsHazardousSubstance	DataSupplier:Link
10532	Crimpzange	Crimping pliers	Zangen	Zangen	Zangen	Zangen	NULL	NULL	Handwerkzeuge	1	0	0	DVSE
11221	Crimpzangeneinsatz	Crimping pliers insert	Elektrikwerkzeuge	Elektrikwerkzeuge	Crimpzange	Crimpzange	NULL	NULL	Handwerkzeuge	1	0	0	DVSE
5177	Crimpzangeneinsatz	Crimping Pliers Insert	Werkzeug, Universal	Tool, universal	Einsatz	Insert	Crimpzange	Crimping Pliers	Werkzeugverbrauchsmaterial	1	0	0	Tec Doc
3223	Crimpzangeneinsatz-Set	Crimping Pliers Insert Set	Werkzeug, Universal	Tool, universal	Einsatz-Set	Insert Set	Crimpzange	Crimping Pliers	Werkzeugverbrauchsmaterial	1	0	0	Tec Doc
4219	Crimpzangengriff	Crimping Pliers Handle	Werkzeug, Universal	Tool, universal	Griff	Handle	Crimpzange	Crimping Pliers	Handwerkzeuge	1	0	0	Tec Doc
5178	Crimpzangen-Set	Crimping Pliers Set	Werkzeug, Universal	Tool, universal	Set	Set	Crimpverbindung	Crimp Connection	Handwerkzeuge	1	0	0	Tec Doc
4712	Cutter	Cutter	Werkzeug, Universal	Tool, universal	Cutter	Cutter	NULL	NULL	Handwerkzeuge	1	0	0	Tec Doc
9135	CVT-Antriebsriemen	CVT Drive Belt	Riementrieb, Universal	Belt Drive, universal	Riemen	Belt	CVT	CVT	Riementrieb sonstiges	1	0	0	Tec Doc
6072	Dachbox	Roof Box	Transportvorrichtung, Universal	Carrier Unit, Universal	Dachbox	Roof Box	NULL	NULL	Dachboxen	1	0	0	Tec Doc
126	Dachbox	Roof Box	Transportvorrichtung	Carriers	Dachbox	Roof Box	NULL	NULL	Dachboxen	0	0	0	Tec Doc
18809	Dachbox	Roof box	NULL	NULL	Dachcontainer	Dachcontainer	NULL	NULL	Dachboxen	1	0	0	DVSE
4225	Dachinnenauskleidung	Roof Inner Lining	Innenausstattung	Interior Equipment	Dachinnenauskleidung	Roof Inner Lining	NULL	NULL	Innenausstattung	0	0	0	Tec Doc
6225	Dachlastenträger	Roof Load Carriers	Transportvorrichtung, Universal	Carrier Unit, Universal	Träger	Rack	Dachlastenträger	Roof Carriers	Lastenträger	1	0	0	Tec Doc
300032	Dachlufthutze, Tuning	Roof air scoop, tuning	Zubehör	Accessories	Dachlufthutze, Tuning	NULL	NULL	NULL	Sportliches Zubehör	1	0	0	K24
971	Dachsäule	Roof Pillar	Karosserie	Body	Dachsäule	Roof Pillar	NULL	NULL	Karosserie Montageteile	0	0	0	Tec Doc
6224	Dachträger	Roof Rack	Transportvorrichtung, Universal	Carrier Unit, Universal	Träger	Rack	Dachträger	Roof Rack	Lastenträger	1	0	0	Tec Doc
127	Dachträger	Roof Rack	Transportvorrichtung	Carriers	Träger	Rack	Dachträger	Roof Rack	Lastenträger	0	0	0	Tec Doc
300062	Dachträger Anbau Kit Fußsatz	Roof rack mounting kit foot set	NULL	NULL	Dachträger Anbau Kit Fußsatz	NULL	NULL	NULL	Transportsysteme Montage	0	0	0	K24
1201	Dachträgerfuß	Roof Rack Foot	Transportvorrichtung	Carriers	Fuß	Base	Dachträger	Roof Rack	Transportsysteme Montage	0	0	0	Tec Doc
6065	Dachträgerfuß	Roof Rack Foot	Transportvorrichtung, Universal	Carrier Unit, Universal	Fuß	Base	Dachträger	Roof Rack	Transportsysteme Montage	1	0	0	Tec Doc
1200	Dachträgerstange	Roof Rack Load Bar	Transportvorrichtung	Carriers	Stange	Rod	Dachträger	Roof Rack	Transportsysteme Montage	0	0	0	Tec Doc
10013	Dachwindabweiser	Roof wind diverter	NULL	NULL	Dachwindabweiser	Roof wind diverter	NULL	NULL	Windabweiser	0	0	0	DVSE
17840	Dämmmaterial/Bezugsstoffe, CarHifi	Covering material/ Insulating material, CarHifi	NULL	NULL	Dämmmaterial/Bezugsstoffe	Dämmmaterial/Bezugsstoffe	NULL	NULL	Car Hifi & Multimedia	1	0	0	DVSE
527	Dämpfer, Fahrerhauslagerung	Shock Absorber, cab suspension	Fahrerhaus	Driver Cab	Dämpfer	Damper	Fahrerhauslagerung	Driver Cab Suspension	Fahrerhaus sonstiges	0	0	0	Tec Doc
271	Dämpfer, Motorlagerung	Buffer, engine mounting	Motoraufhängung	Engine Mounting	Dämpfer	Damper	Motorlagerung	Engine Mounting	Motorlager	0	0	0	Tec Doc
5461	Dämpfereinsatz, Endschalldämpfer	Silencer Insert, rear silencer	Abgasanlage	Exhaust System	Einsatz	Insert	Endschalldämpfer (Zweirad)	End Silencer (motorcycle)	Schalldämpfer	0	0	0	Tec Doc
4654	Dämpferlagerung, Fahrerhaus	Damper Mounting, driver cab	Fahrerhaus	Driver Cab	Lagerung	Mounting	Dämpfer-Fahrerhauslagerung	Driver Cab Mounting Damper	Fahrerhaus sonstiges	0	0	0	Tec Doc
428	Dauerpluskabel, Anhängevorrichtung	Permanent Positive Cable, trailer hitch	Anhängevorrichtung	Trailer Hitch	Kabelsatz	Harness	Dauerplus	Permanently Positive	Kabel/Kabelsätze	0	0	0	Tec Doc
5182	Deaktivierungsmodul, elektronische Dämpferregulierung	Deactivation Module, electronic damper control	Federung/Dämpfung	Suspension/Damping	Deaktivierungsmodul	Deactivation Module	Elektronische Dämpferregulierung	Electronic damping adjustment	Sensoren sonstige	0	0	0	Tec Doc
1515	Deckel	Lid	NULL	NULL	Deckel	Lid	NULL	NULL	Installationsmaterial	0	0	0	Tec Doc
5053	Deckel Luftfiltergehäuse	Air Filter Housing Cover	Luftversorgung	Air Supply	Deckel	Lid	Luftfiltergehäuse	Air Filter Housing	Luftfilter	0	0	0	Tec Doc
4063	Deckel, Batteriekasten	Cover, battery box	Startanlage	Starter System	Deckel	Lid	Batteriekasten	Battery Box	Zubehör Batterien	0	0	0	Tec Doc
3362	Deckel, Kraftstofffilter	Cover, fuel filter	Kraftstoffförderanlage	Fuel Supply System	Deckel	Lid	Kraftstofffilter	Fuel filter	Filter Einzelteile	0	0	0	Tec Doc
3989	Deckel, Kupplungsgehäuse	Cover, clutch housing	Kupplung	Clutch	Deckel	Lid	Kupplungsgehäuse	Clutch Housing	Kupplung sonstiges	0	0	0	Tec Doc
5650	Deckel, Lüftergehäuse (Motorkühlung)	Cover, fan housing (engine cooling)	Kühlung	Cooling System	Deckel	Lid	Lüftergehäuse (Motorkühlung)	Fan Housing (engine cooling)	Kühlkreislauf sonstiges	0	0	0	Tec Doc
3323	Deckel, Ölfiltergehäuse	Cap, oil filter housing	Schmierung	Lubrication	Deckel	Lid	Ölfiltergehäuse	Oil Filter Housing	Filter Einzelteile	0	0	0	Tec Doc
5055	Deckel, Ölkühler	Cover, oil cooler	Schmierung	Lubrication	Deckel	Lid	Ölkühler	Oil Cooler	Ölkreislauf	0	0	0	Tec Doc
4271	Deckel, Ölsieb	Cover, oil sieve	Schmierung	Lubrication	Deckel	Lid	Ölsieb	Oil Strainer	Ölkreislauf	0	0	0	Tec Doc
5114	Deckel, Radnabe	Cover, wheel hub	Federung/Dämpfung	Suspension/Damping	Deckel	Lid	Radnabe	Wheel Hub	Fahrwerk sonstiges	0	0	0	Tec Doc
5755	Deckel, Rahmenkopf	Cover, chassis head	Karosserie	Body	Deckel	Lid	Rahmenkopf	Chassis Head	Karosserie Montageteile	0	0	0	Tec Doc
2142	Deckel, Spannrollenhebel	Lid, tensioner pulley lever	Riementrieb	Belt Drive	Deckel	Lid	Spannrollenhebel	Tensioner Pulley Lever	Riementrieb sonstiges	0	0	0	Tec Doc
7007	Deckel, Werkzeugwagen	Cover, tool trolley	Werkstattausrüstung	Workshop Equipment	Deckel	Lid	Werkzeugwagen	Tool Trolley	Werkstattaus-/einrichtung sonstiges	1	0	0	Tec Doc
3734	Deckenmonitor	Roof Monitor	Kommunikations-/Informationssysteme, Universal	Communication/ Information Systems, universal	Monitor	Monitor	Deckenmonitor	Roof Monitor	Car Hifi & Multimedia	1	0	0	Tec Doc
7952	Deflektor, Saug-/Blaspistole	Deflector, suction/blast gun	Werkstattausrüstung	Workshop Equipment	Deflektor	Deflector	Saug-/Blaspistole	Suction/Blast Gun	Werkstattaus-/einrichtung sonstiges	1	0	0	Tec Doc
7455	Dekorring, Heckleuchte	Decorative Ring, rear light	Beleuchtung, Universal	Lighting System, universal	Dekorring	Decorative Ring	Heckleuchte	Combination Rearlight	Beleuchtung sonstiges	1	0	0	Tec Doc
8062	Dellenreparatursatz	Dent Repair Set	Spezialwerkzeug, Universal	Special Tools, universal	Dellenreparatursatz	Dent Repair Set	NULL	NULL	Werkzeuge sonstiges	1	0	1	Tec Doc
6529	Dellenspiegel	Dent Mirror	Spezialwerkzeug, Universal	Special Tools, universal	Dellenspiegel	Dent Mirror	NULL	NULL	Werkzeuge sonstiges	1	0	0	Tec Doc
300900	demineralisiertes Wasser	demineralised water	NULL	NULL	demineralisiertes Wasser	NULL	NULL	NULL	Fahrzeugchemie sonstiges	1	0	0	K24
2574	Demontagehebel, Kurbelwellendichtring	Demounting Lever, crankshaft seal	Werkzeug, Universal	Tool, universal	Hebel	Lever	Demontage Kurbelwellendichtring	Demounting Crankshaft Seal	Werkzeuge sonstiges	1	0	0	Tec Doc
9438	Demontagewerkzeug, Achsschenkelbolzen	Disassembly Tool, kingpin	Spezialwerkzeug, Universal	Special Tools, universal	Demontagewerkzeug	Disassembly Tool	Achsschenkelbolzen	Kingppin	Werkzeuge sonstiges	1	0	0	Tec Doc
9749	Demontagewerkzeug, Antriebswelle	Disassembly Tool, drive shaft	Werkzeug, fahrzeugspezifisch	Vehicle Specific Tools	Demontagewerkzeug	Disassembly Tool	Antriebswelle	Drive Shaft	Werkzeuge sonstiges	0	0	0	Tec Doc
6884	Demontagewerkzeug, Common-Rail-Injektor	Disassembly Tool, common rail injector	Spezialwerkzeug, Universal	Special Tools, universal	Demontagewerkzeug	Disassembly Tool	Common-Rail-Injektor	Common Rail Injector	Handwerkzeuge	1	0	0	Tec Doc
4517	Demontagewerkzeug, Common-Rail-Injektor	Disassembly Tool, common rail injector	Werkzeug, fahrzeugspezifisch	Vehicle Specific Tools	Demontagewerkzeug	Disassembly Tool	Common-Rail-Injektor	Common Rail Injector	Handwerkzeuge	0	0	0	Tec Doc
5851	Demontagewerkzeug, Dichtring	Dismantling Tool, seal ring	Werkzeug, Universal	Tool, universal	Demontagewerkzeug	Disassembly Tool	Dichtring	Seal Ring	Handwerkzeuge	1	0	0	Tec Doc
5140	Demontagewerkzeug, Einspritzventil	Dismantling Tool, injector	Werkzeug, Universal	Tool, universal	Demontagewerkzeug	Disassembly Tool	Einspritzventil	Injector	Handwerkzeuge	1	0	0	Tec Doc
4649	Demontagewerkzeug, Halteclip-Karosserie	Disassembly Tool, body holding clip	Werkzeug, Universal	Tool, universal	Demontagewerkzeug	Disassembly Tool	Halteclip-Karosserie	Body Holding Clip	Handwerkzeuge	1	0	0	Tec Doc
8063	Demontagewerkzeug, Heckleuchte	Removal Tool, taillights	Spezialwerkzeug, Universal	Special Tools, universal	Demontagewerkzeug	Disassembly Tool	Heckleuchte	Combination Rearlight	Werkzeuge sonstiges	1	0	0	Tec Doc
