EngineType;CarNr;CarMake;CarModel;TD-GenartNr;TD-GenartDesc;K24-Kategorie;TD-ArtNr;PDM-ArtID;K24Number;Manufacturer;TD-ManufacturerNr
Elektromotor;5241;CITROËN;C-ZERO;5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10007-12B1;4664673;NULL;DEH;89
Elektromotor;5241;CITROËN;C-ZERO;5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10008-12B1;4664674;NULL;DEH;89
Elektromotor;5241;CITROËN;C-ZERO;5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10009-12B1;4664675;NULL;DEH;89
Elektromotor;5241;CITROËN;C-ZERO;5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10010-12B1;4664676;NULL;DEH;89
Elektromotor;5241;CITROËN;C-ZERO;5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10011-12B1;4664677;NULL;DEH;89
Elektromotor;5312;PEUGEOT;ION;70;Bremsbackensatz;Bremsanlage;151-533;4660865;NULL;CIF;311
Elektromotor;5312;PEUGEOT;ION;70;Bremsbackensatz;Bremsanlage;BK-5546N;3330896;NULL;OPT;129
Elektromotor;5312;PEUGEOT;ION;82;Bremsscheibe;Bremsanlage;DI-0614C;4653479;NULL;JPP;156
Elektromotor;5312;PEUGEOT;ION;277;Radbremszylinder;Bremsanlage;RZ-4165;3109700;NULL;OPT;129
Elektromotor;5312;PEUGEOT;ION;5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;MX 485;4664678;NULL;MAH;287
Elektromotor;5312;PEUGEOT;ION;5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10003-12B1;4664672;NULL;DEH;89
Elektromotor;5312;PEUGEOT;ION;5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10007-12B1;4664673;NULL;DEH;89
Elektromotor;5312;PEUGEOT;ION;5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10008-12B1;4664674;NULL;DEH;89
Elektromotor;5312;PEUGEOT;ION;5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10009-12B1;4664675;NULL;DEH;89
