EngineType;CarNr;CarMake;CarModel;K24-Kategorie;TD-Genart;TD-ArtNr;PDM-TD-ArtNr;TD-ArtBeschreibung;PDM-ArtID;K24-Nr
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;ENERGIZER-EP45J;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;ENERGIZER-EP45J-TP;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;ROCKET-BAT045RCJBL;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;GLOBAL-GR050B;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;YUASA-YBX3012;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;YUASA-YBX3053;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;SAFA-S45J-TP;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;VMF-55054;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;VMF-55054;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;POWERROCK1-BAT040RDJ;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;ROCKET-EFB055RCN;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;GLOBAL-GR045C;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;GLOBAL-GR045CBL;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;GLOBAL-GR055EFBB;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;MAXGEAR-85-0019;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;COMLINE-CB053PL;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;OMNICRAFT-2130432;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;YUASA-YBX5012;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;GS-SMF053;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;POWERROCK1-BAT045RCJ;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;ROCKET-BAT045RHN;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;GLOBAL-GR040C;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;SONNAK-SB500;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;RUTECGMBH1-RNU045RCJBL;NULL;Starterbatterie;NULL;NULL
