Genart-Nr;Genart-DE;Genart-EN;Subcategory;Std-Desc;AssemblyGroup-DE;AssemblyGroup-EN;IsUniversalGenericArticle;IsDangerousGoods;IsHazardousSubstance
3377;Bremsendeaktivierungswerkzeug;Brake Deactivation Tool;Werkstattaus-/einrichtung sonstiges;Service-Gerät;Werkstattgeräte;Workshop Devices;1;0;0
11223;Bremsen-Gruppe;Brake group;Bremsenteile sonstiges;Bremsen-Gruppe;NULL;NULL;0;0;0
3405;Bremsensatz, Scheibenbremse;Brake Set, disc brakes;Bremsenteile-K-Setartikel;Bremsensatz;Bremsanlage;Braking System;0;0;0
3859;Bremsensatz, Trommelbremse;Brake Set, drum brakes;Trommelbremse;Bremsensatz;Bremsanlage;Braking System;0;0;0
2374;Bremsfedern-Zange;Pliers, brake springs;Handwerkzeuge;Zange;Werkzeug, Universal;Tool, universal;1;0;0
12006;Bremsflüssigkeit;Brake Fluid;Bremsflüssigkeiten;Bremsflüssigkeit;NULL;NULL;0;0;1
20597;Bremsflüssigkeit;Bremsflüssigkeit;Bremsflüssigkeiten;Bremsflüssigkeit;NULL;NULL;0;0;1
3357;Bremsflüssigkeit;Brake Fluid;Bremsflüssigkeiten;Öl;Bremsanlage;Braking System;0;0;1
71;Bremsflüssigkeit;Brake Fluid;Bremsflüssigkeiten;Öl;Chemische Produkte;Chemical Products;1;0;1
2352;Bremsflüssigkeits-Sammelbehälter;Collection Tank, brake fluid;Ölwechsel;Behälter;Werkstattgeräte;Workshop Devices;1;0;0
10914;Bremsflüssigkeitstester;Brake fluid tester;Handwerkzeuge;Bremsflüssigkeitstester;Bremsendienst;Bremsendienst;1;0;0
7664;Bremsgestänge, Anhänger;Brake Linkage, trailer;Bremsenteile sonstiges;Bremsgestänge;Anhänger;Trailer;1;0;0
7700;Bremsgestänge-Ausgleichsprofil, Einachsanhänger;Brake Linkage Compensation Profile, single axle trailer;Bremsenteile sonstiges;Ausgleichsprofil;Anhänger;Trailer;1;0;0
7701;Bremsgestänge-Ausgleichsprofil, Tandemanhänger;Brake Linkage Compensation Profile, tandem axle trailer;Bremsenteile sonstiges;Ausgleichsprofil;Anhänger;Trailer;1;0;0
7679;Bremsgestängesatz, Einachsanhänger;Brake Linkage Set, single axle trailer;Bremsenteile sonstiges;Bremsgestängesatz;Anhänger;Trailer;1;0;0
7680;Bremsgestängesatz, Tandemanhänger;Brake Linkage Set, tandem axle trailer;Bremsenteile sonstiges;Bremsgestängesatz;Anhänger;Trailer;1;0;0
7850;Bremshebel, Fußrastenanlage;Brake Lever, footrest system;Bremsenteile sonstiges;Hebel;Bremsanlage;Braking System;0;0;0
5410;Bremshebel, Lenker;Brake Lever, handlebars;Bremsenteile sonstiges;Hebel;Bremsanlage;Braking System;0;0;0
73;Bremskraftregler;Brake Power Regulator;Bremskraftregler;Regler;Bremsanlage;Braking System;0;0;0
74;Bremskraftverstärker;Brake Booster;Bremshydraulik;Verstärker;Bremsanlage;Braking System;0;0;0
515;Bremsleitung;Brake Lines;Bremshydraulik;Rohrleitung;Bremsanlage;Braking System;0;0;0
2544;Bremsleitung;Brake Lines;Bremshydraulik;Rohrleitung;Bremsanlage, Universal;Braking System, universal;1;0;0
669;Bremsleitungssatz;Brake Lines Set;Bremshydraulik;Rohrleitungssatz;Bremsanlage;Braking System;0;0;0
5804;Bremsleitungs-Schlüssel;Brake Lines Spanner;Werkzeuge sonstiges;Doppel-Ringschlüssel;Werkzeug, Universal;Tool, universal;1;0;0
2384;Bremsleitungs-Schlüsselsatz;Spanner Set, brake pipes;Werkzeuge sonstiges;Doppel-Ringschlüsselsatz;Werkzeug, Universal;Tool, universal;1;0;0
5321;Bremsleitungstülle;Brake Line Grommet;Bremshydraulik;Tülle;Bremsanlage;Braking System;0;0;0
2503;Bremsleuchte;Stop Light;Heckleuchten;Leuchte;Signalanlage, Universal;Signal System, universal;1;0;0
76;Bremsleuchte;Stop Light;Heckleuchten;Leuchte;Signalanlage;Signal System;0;0;0
20692;Bremslichtschalter;Brake light switch;Schalter Innenraum;Bremslichtschalter;NULL;NULL;1;0;0
806;Bremslichtschalter;Brake Light Switch;Schalter Innenraum;Schalter;Signalanlage;Signal System;0;0;0
20797;Bremslichtschaltersatz;Stop Light Switch Set;Schalter Innenraum;Bremslichtschaltersatz;NULL;NULL;0;0;0
26079;Bremsnocken;brake cams;Bremsenteile sonstiges;Bremsnocken;Bremsanlage, Universal;Braking System, universal;1;0;0
1524;Bremspedal;Brake Pedal;Innenausstattung;Pedal;Bremsanlage;Braking System;0;0;0
2009;Bremsprüfstand;Brake Tester;Werkstattaus-/einrichtung sonstiges;Prüfstand;Werkstattgeräte;Workshop Devices;1;0;0
78;Bremssattel;Brake Caliper;Bremssattel;Bremssattel;Bremsanlage;Braking System;0;0;0
79;Bremssattelachssatz;Brake Caliper Axle Kit;Bremssattel;Achssatz;Bremsanlage;Braking System;0;0;0
5152;Bremssattelbrücke;Brake Caliper Bridge;Bremssattel Einzelteile;Bremssattelbrücke;Bremsanlage;Braking System;0;0;0
11241;Bremssattel-Gruppe;Brake calliper group;Bremssattel;Bremssattel-Gruppe;NULL;NULL;0;0;0
81;Bremssattelhaltersatz;Brake Caliper Bracket Set;Bremssattel Einzelteile;Haltersatz;Bremsanlage;Braking System;0;0;0
3473;Bremssattellack;Brake Caliper Paint;Lackspraydosen Standard;Lack;Chemische Produkte;Chemical Products;1;1;1
2369;Bremssattel-Schlüssel;Wrench, brake caliper;Handwerkzeuge;Steckschlüsseleinsatz;Werkzeug, Universal;Tool, universal;1;0;0
7050;Bremssattel-Schlüssel;Wrench, brake caliper;Handwerkzeuge;Steckschlüsseleinsatz;Werkzeug, fahrzeugspezifisch;Vehicle Specific Tools;0;0;0
11350;Bremssattelträger;Brake calliper support;Bremssattel Einzelteile;Bremssattelträger;NULL;NULL;0;0;0
20680;Bremsscheibe;Bremsscheibe;Bremsscheiben;Bremsscheibe;NULL;NULL;0;0;0
82;Bremsscheibe;Brake Disc;Bremsscheiben;Bremsscheibe;Bremsanlage;Braking System;0;0;0
3531;Bremsscheibe;Brake Disc;Bremsscheiben;Grafik;Bremsanlage;Braking System;0;0;0
23399;Bremsscheibenschloss;Brake disc lock;Zubehör sonstiges;Schloss;Diebstahlschutz;Diebstahlschutz;1;0;0
23398;Bremsscheibenschloss;Brake disc lock;Zubehör sonstiges;Schloss;Diebstahlschutz;Diebstahlschutz;0;0;0
20595;Bremsschlauch;Bremsschlauch;Bremsschläuche;Bremsschlauch;NULL;NULL;0;0;0
83;Bremsschlauch;Brake Hose;Bremsschläuche;Schlauchleitung;Bremsanlage;Braking System;0;0;0
2082;Bremsschlauch, Druckluftanlage;Brake Hose, compressed-air system;Bremsschläuche;Schlauchleitung;Druckluftanlage;Compressed-air System;0;0;0
2385;Bremsschlauchklemme;Clamp, brake hose;Werkzeuge sonstiges;Klemmwerkzeug;Werkzeug, Universal;Tool, universal;1;0;0
4149;Bremsschlauchsatz;Brake Hose Set;Bremsschläuche;Schlauchleitungssatz;Bremsanlage;Braking System;0;0;0
7658;Bremsseil, Anhänger;Brake Cable, trailer;Bremsseile;Seilzug;Anhänger;Trailer;1;0;0
7662;Bremsseilanschluss, Anhänger;Brake cable Connector, trailer;Bremsenteile sonstiges;Bremsseilanschluss;Anhänger;Trailer;1;0;0
2378;Bremsseilfeder-Zange;Pliers, brake cable spring;Handwerkzeuge;Zange;Werkzeug, Universal;Tool, universal;1;0;0
11209;Bremsteller;Brake disk;Bremsenteile sonstiges;Bremsteller;NULL;NULL;0;0;0
11224;Bremsteller-Gruppe;Brake disk group;Bremsenteile sonstiges;Bremsteller-Gruppe;NULL;NULL;0;0;0
11351;Bremsträger;Brake anchor plate;Zubehör sonstiges;Bremsträger;NULL;NULL;0;0;0
11352;Bremsträger-Gruppe;Brake anchor plate group;Bremsenteile sonstiges;Bremsträger-Gruppe;NULL;NULL;0;0;0
3619;Bremsträgerplatte;Brake Mounting Plate;Bremsenteile sonstiges;Trägerplatte;Bremsanlage;Braking System;0;0;0
123;Bremstrommel;Brake Drum;Trommelbremse;Bremstrommel;Bremsanlage;Braking System;0;0;0
7684;Bremstrommel, Anhänger;Brake Drum, trailer;Trommelbremse;Bremstrommel;Anhänger;Trailer;1;0;0
356;Bremsventil, Anhänger;Brake Valve, trailer;Anhänger;Ventil;Druckluftanlage;Compressed-air System;0;0;0
347;Bremsventil, Betriebsbremse;Brake Valve, service brake;Druckluftanlage sonstiges;Ventil;Druckluftanlage;Compressed-air System;0;0;0
355;Bremsventil, Feststellbremse;Brake Valve, parking brake;Druckluftanlage sonstiges;Ventil;Druckluftanlage;Compressed-air System;0;0;0
3530;Bremswelle;Brake Shaft;Bremsenteile sonstiges;Grafik;Bremsanlage;Braking System;0;0;0
410;Bremswelle, Trommelbremse;Brake Shaft, drum brake;Bremsenteile sonstiges;Welle;Bremsanlage;Braking System;0;0;0
15911;Brennspiritus;Denatured alcohol;Fahrzeugchemie sonstiges;Brennspiritus;Chemische Produkte;Chemical Products;1;0;1
1671;Bridenmutter;Spring Clamp Nut;Federung sonstiges;Mutter;Federung/Dämpfung;Suspension/Damping;0;0;0
23319;Brille;Glasses;Arbeitsschutz, Bekleidung;Brille;Bekleidung;Bekleidung;1;0;0
19141;Brille;Glasses;Arbeitsschutz, Bekleidung;Brille;NULL;NULL;1;0;0
19117;Brillenablage;Glasses case;Zubehör sonstiges;Brillenablage;NULL;NULL;1;0;0
9372;Brücke, Montagegrube;Bridge, workshop pit;Werkstattaus-/einrichtung sonstiges;Brücke;Werkstattausrüstung;Workshop Equipment;1;0;0
6123;Brücke, Sicherungshalter;Bridge, fuse holder;Installationsmaterial;Verbindungselement;Elektrische Universalteile;Electric Universal Parts;1;0;0
7766;Buchse;Bush;DIN / Normteile sonstiges;Buchse;Normteile;Standard Parts;1;0;0
3265;Buchse;Bush;DIN / Normteile sonstiges;Buchse;NULL;NULL;0;0;0
3360;Buchse, Achsschenkelbolzen;Bush, kingpin;Fahrwerk sonstiges;Buchse;Radaufhängung;Wheel Suspension;0;0;0
5088;Buchse, Achsstern (Ausgleichskegelrad-Differential);Bush, axle spider (differential pinion gear);Differential sonstiges;Buchse;Achsantrieb;Axle Drive;0;0;0
7599;Buchse, Bodenrolle (Ladebordwand);Bushing, floor roller (tail lift);Karosserieteile sonstiges;Buchse;Karosserie, Universal;Body Parts, universal;1;0;0
2716;Buchse, Bremsbackenbolzen;Bush, brake shoe pin;Bremsenteile sonstiges;Buchse;Bremsanlage;Braking System;0;0;0
2717;Buchse, Bremsbackenrolle;Bush, brake shoe sleeve;Bremsenteile sonstiges;Buchse;Bremsanlage;Braking System;0;0;0
7124;Buchse, Druckluftwerkzeug;Bushing, compressed air tool;Handwerkzeuge;Buchse;Werkzeug, Universal;Tool, universal;1;0;0
3243;Buchse, Fahrerhauslagerung;Bush, driver cab suspension;Fahrerhaus sonstiges;Buchse;Fahrerhaus;Driver Cab;0;0;0
3040;Buchse, Federauge;Bush, spring eye;Federung sonstiges;Buchse;Federung/Dämpfung;Suspension/Damping;0;0;0
3041;Buchse, Federbock;Bush, spring bracket;Federung sonstiges;Buchse;Federung/Dämpfung;Suspension/Damping;0;0;0
647;Buchse, Federgehänge;Bush, spring shackle;Federung sonstiges;Buchse;Federung/Dämpfung;Suspension/Damping;0;0;0
2731;Buchse, Feststellbremswelle;Bush, parking brake shaft;Bremsenteile sonstiges;Buchse;Bremsanlage;Braking System;0;0;0
3042;Buchse, Führungsfeder;Bush, guide spring;Federung sonstiges;Buchse;Federung/Dämpfung;Suspension/Damping;0;0;0
2705;Buchse, Kipphebel;Bush, rocker arm;Ventiltrieb;Buchse;Zylinderkopf;Cylinder Head;0;0;0
4409;Buchse, Kippzylinder-Fahrerhaus;Bush, driver cab tilt cylinder;Fahrerhaus sonstiges;Buchse;Fahrerhaus;Driver Cab;0;0;0
4827;Buchse, Lenkhebel;Bush, steering arm;Lenkungsteile sonstiges;Buchse;Lenkung;Steering;0;0;0
1596;Buchse, Lenkhebelwelle;Bush, steering arm shaft;Lenkungsteile sonstiges;Buchse;Lenkung;Steering;0;0;0
3168;Buchse, Lenkstockhebel;Bush, steering control arm;Lenkungsteile sonstiges;Buchse;Lenkung;Steering;0;0;0
1672;Buchse, Lenkwelle;Bush, steering shaft;Lenkungsteile sonstiges;Buchse;Lenkung;Steering;0;0;0
7115;Buchse, Ratschenschrauber;Bushing, ratchet screwdriver;Werkstattaus-/einrichtung sonstiges;Buchse;Werkstattausrüstung;Workshop Equipment;1;0;0
7258;Buchse, Rohrsäule (Werkzeugwagen);Bushing, tubular column;Werkstattaus-/einrichtung sonstiges;Buchse;Werkstattausrüstung;Workshop Equipment;1;0;0
3558;Buchse, Schaltstange;Bush, shift rod;Automatikgetriebe sonstiges;Buchse;Automatikgetriebe;Automatic Transmission;0;0;0
1776;Buchse, Schaltstange;Bush, shift rod;Schaltgetriebe sonstiges;Buchse;Schaltgetriebe;Manual Transmission;0;0;0
5756;Buchse, Spurstangenkopf (Lenkungsdämpferbefestigung);Bush, tie rod end (steering damper mounting);Lenkungsteile sonstiges;Buchse;Lenkung;Steering;0;0;0
1594;Buchse, Starterwelle;Bush, starter shaft;Anlasser Einzelteile;Buchse;Startanlage;Starter System;0;0;0
3043;Buchse, Stoßdämpfer;Bush, shock absorber;Federung sonstiges;Buchse;Federung/Dämpfung;Suspension/Damping;0;0;0
3189;Buchse, Verbindungsstange;Bush, connecting rod;Fahrwerk sonstiges;Buchse;Radaufhängung;Wheel Suspension;0;0;0
1595;Buchse, Wähl-/Schaltstange;Bush, selector-/shift rod;Schaltgetriebe sonstiges;Buchse;Schaltgetriebe;Manual Transmission;0;0;0
3977;Buchse, Zylinderkopfhaube;Bush, cylinder head cover;Zylinderkopf Einzelteile;Buchse;Zylinderkopf;Cylinder Head;0;0;0
1823;Buchsen/Lager-Klebstoff;Bush / Bearing Adhesive;Kleben & Dichten;Klebstoff;Chemische Produkte;Chemical Products;1;1;1
4992;Buchseneinsatz, Gehäuse;Socket Insert, housing;Installationsmaterial;Buchseneinsatz;Elektrische Universalteile;Electric Universal Parts;1;0;0
3268;Bügel;Bracket;Anlasser Einzelteile;Bügel;NULL;NULL;0;0;0
9450;Bügel, Montagewerkzeug-Kupplung;Bracket, clutch installation tool;Werkzeuge sonstiges;Bügel;Spezialwerkzeug, Universal;Special Tools, universal;1;0;0
