EngineType;CarNr;CarMake;CarModel;K24-Kategorie;TD-Genart;TD-ArtNr;PDM-TD-ArtNr;TD-ArtBeschreibung;PDM-ArtID;K24-Nr;ImportVersionNo;Manufacturer:Link;Manufacturer:Link
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;YUASA-YBX3012;NULL;Starterbatterie;NULL;NULL;20210401;NULL;2117
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;YUASA-YBX3053;NULL;Starterbatterie;NULL;NULL;20210401;NULL;2117
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;SAFA-S45J-TP;NULL;Starterbatterie;NULL;NULL;20210401;NULL;3725
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;VMF-55054;NULL;Starterbatterie;NULL;NULL;20210401;NULL;4456
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;VMF-55054;NULL;Starterbatterie;NULL;NULL;20210401;NULL;4456
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;POWERROCK1-BAT040RDJ;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1000503
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;ROCKET-EFB055RCN;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1000622
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;GLOBAL-GR045C;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1000623
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;GLOBAL-GR045CBL;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1000623
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;GLOBAL-GR055EFBB;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1000623
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;OPENPARTS-BY055L1.30;NULL;Starterbatterie;NULL;NULL;20210401;NULL;3172
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;RUTECGMBH1-RNU040RDJ;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1003805
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;MAXGEAR-85-0019;NULL;Starterbatterie;NULL;NULL;20210401;NULL;3219
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;DETA-DB454;NULL;Starterbatterie;NULL;NULL;20210401;NULL;3262
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;MOTAQUIP-VSMF012;NULL;Starterbatterie;NULL;NULL;20210401;NULL;3268
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;POWERROCK1-BAT045RCJBL;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1000503
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;ROCKET-BAT045RCN;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1000622
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;PLATINUM-AFB158E;NULL;Starterbatterie;NULL;NULL;20210401;NULL;4709
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;NPS-U540L09B;NULL;Starterbatterie;NULL;NULL;20210401;NULL;3271
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;CONTINENTAL-2800012019280;NULL;Starterbatterie;NULL;NULL;20210401;NULL;2415
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;YUASA-YBX5053;NULL;Starterbatterie;NULL;NULL;20210401;NULL;2117
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;GLOBAL-GR045B;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1000623
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;COMLINE-CB053PL;NULL;Starterbatterie;NULL;NULL;20210401;NULL;3242
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;OMNICRAFT-2130432;NULL;Starterbatterie;NULL;NULL;20210401;NULL;4603
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;YUASA-YBX5012;NULL;Starterbatterie;NULL;NULL;20210401;NULL;2117
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;GS-SMF053;NULL;Starterbatterie;NULL;NULL;20210401;NULL;3525
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;POWERROCK1-BAT045RCJ;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1000503
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;ROCKET-BAT045RHN;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1000622
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;GLOBAL-GR040C;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1000623
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;ROCKET-BAT045RCJBL;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1000622
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;GLOBAL-GR050B;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1000623
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;EUROREPAR-1609232280;NULL;Starterbatterie;NULL;NULL;20210401;NULL;4533
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;GS-SMF012;NULL;Starterbatterie;NULL;NULL;20210401;NULL;3525
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;SAFA-S45-J;NULL;Starterbatterie;NULL;NULL;20210401;NULL;3725
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;VMF-54584;NULL;Starterbatterie;NULL;NULL;20210401;NULL;4456
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;POWERROCK1-BAT040RDJBL;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1000503
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;POWERROCK1-EFB040RDJ;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1000503
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;ROCKET-BAT045RCJ;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1000622
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;ROCKET-BAT050RHN;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1000622
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;GLOBAL-GR045D;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1000623
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;SONNAK-SB500;NULL;Starterbatterie;NULL;NULL;20210401;NULL;3168
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;RUTECGMBH1-RNU045RCJBL;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1003805
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;SONNAK-SA530;NULL;Starterbatterie;NULL;NULL;20210401;NULL;3168
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;CENTRA-CB500;NULL;Starterbatterie;NULL;NULL;20210401;NULL;3169
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;CIAKSTARTER1-CS45DA;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1003789
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;CENTRA-CA530;NULL;Starterbatterie;NULL;NULL;20210401;NULL;3169
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;RUTECGMBH1-RNU040RDJ-EFB;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1003805
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;MCHANIX-MCX-46B24L;NULL;Starterbatterie;NULL;NULL;20210401;NULL;5059
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;TECHNIKA-TKA55;NULL;Starterbatterie;NULL;NULL;20210401;NULL;5142
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;SONNAK-SL550;NULL;Starterbatterie;NULL;NULL;20210401;NULL;3168
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;RUTECGMBH1-RNU040RDJBL;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1003805
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;CENTRA-CL550;NULL;Starterbatterie;NULL;NULL;20210401;NULL;3169
