Brand;BrandNum;BrandNum-Skruvat;ArticleID;K24Number
NULL;NULL;0986479B81;NULL;NULL
NULL;NULL;0986479B93;NULL;NULL
NULL;NULL;1457070008;NULL;NULL
NULL;NULL;1457429192;NULL;NULL
NULL;NULL;1457429238;NULL;NULL
NULL;NULL;1457429249;NULL;NULL
NULL;NULL;1457429762;NULL;NULL
NULL;NULL;1987432397;NULL;NULL
NULL;NULL;1987946407;NULL;NULL
NULL;NULL;1987946471;NULL;NULL
NULL;NULL;1987948514;NULL;NULL
NULL;NULL;1987948526;NULL;NULL
NULL;NULL;1987948721;NULL;NULL
NULL;NULL;1987948727;NULL;NULL
NULL;NULL;242235666;NULL;NULL
NULL;NULL;242240593;NULL;NULL
NULL;NULL;242240620;NULL;NULL
NULL;NULL;242240653;NULL;NULL
NULL;NULL;242240665;NULL;NULL
NULL;NULL;242245576;NULL;NULL
NULL;NULL;250403009;NULL;NULL
NULL;NULL;3397006951;NULL;NULL
NULL;NULL;3397007297;NULL;NULL
NULL;NULL;3397007462;NULL;NULL
NULL;NULL;3397007467;NULL;NULL
NULL;NULL;3397007863;NULL;NULL
NULL;NULL;3397010300;NULL;NULL
NULL;NULL;3397118400;NULL;NULL
NULL;NULL;3397118911;NULL;NULL
NULL;NULL;3397118979;NULL;NULL
NULL;NULL;88358;NULL;NULL
NULL;NULL;986424523;NULL;NULL
NULL;NULL;986424794;NULL;NULL
NULL;NULL;986424797;NULL;NULL
NULL;NULL;986478979;NULL;NULL
NULL;NULL;986479058;NULL;NULL
NULL;NULL;986479173;NULL;NULL
NULL;NULL;986479397;NULL;NULL
NULL;NULL;986479621;NULL;NULL
NULL;NULL;986479753;NULL;NULL
NULL;NULL;986479768;NULL;NULL
NULL;NULL;986494032;NULL;NULL
NULL;NULL;986494169;NULL;NULL
NULL;NULL;986494213;NULL;NULL
NULL;NULL;986494246;NULL;NULL
NULL;NULL;986494305;NULL;NULL
NULL;NULL;986494528;NULL;NULL
NULL;NULL;986494596;NULL;NULL
NULL;NULL;986494641;NULL;NULL
NULL;NULL;F026400172;NULL;NULL
NULL;NULL;F026407023;NULL;NULL
NULL;NULL;VKBA3523;NULL;NULL
NULL;NULL;VKBA3584;NULL;NULL
NULL;NULL;VKBA3627;NULL;NULL
NULL;NULL;VKBA3632;NULL;NULL
NULL;NULL;VKBA3643;NULL;NULL
NULL;NULL;VKBA3644;NULL;NULL
NULL;NULL;VKBA3646;NULL;NULL
NULL;NULL;VKBA3656;NULL;NULL
NULL;NULL;VKBA6531;NULL;NULL
NULL;NULL;VKBA6543;NULL;NULL
NULL;NULL;VKBA6546;NULL;NULL
NULL;NULL;VKBA6556;NULL;NULL
NULL;NULL;VKBA6565;NULL;NULL
NULL;NULL;VKBA6602;NULL;NULL
NULL;NULL;VKBA6649;NULL;NULL
NULL;NULL;VKBA6831;NULL;NULL
NULL;NULL;VKBA6996;NULL;NULL
NULL;NULL;VKBA7414;NULL;NULL
