Artikel-ID;Hersteller;K24-Nr.;Hersteller-Artikel-Nr.;Interne EAN;Artikel Eigenschaften:Artikelstatus;Katalog:Ausleitung Core-System seit!Date;Data Warehouse Informationen:Absatz 12. Monate rollierend
4720736;FAL;1320-124176;336755;2509557309713;1;2021-04-26;0,00
4720737;FAL;1320-124175;336756;2509557309720;1;2021-04-26;0,00
4720738;FAL;1320-124174;336764;2509557309737;1;2021-04-26;0,00
4720739;FAL;1320-124173;336765;2509557309744;1;2021-04-26;0,00
4720740;FAL;1320-124172;336767;2509557309751;1;2021-04-26;0,00
4720741;FAL;1320-124171;336771;2509557309768;1;2021-04-26;0,00
4720742;FAL;1320-124170;336774;2509557309775;1;2021-04-26;0,00
4720743;FAL;1320-124169;336777;2509557309782;1;2021-04-26;0,00
4720744;FAL;1320-124168;336779;2509557309799;1;2021-04-26;0,00
4720745;FAL;1320-124167;336782;2509557309805;1;2021-04-26;0,00
4720746;FAL;1320-124166;337017;2509557309812;1;2021-04-26;0,00
4720747;FAL;1310-111790;337040;2509557309829;1;2021-04-26;0,00
4720748;FAL;1310-111789;337041;2509557309836;1;2021-04-26;0,00
4720749;FAL;1310-111788;337042;2509557309843;1;2021-04-26;0,00
4720750;FAL;1310-111787;337043;2509557309850;1;2021-04-26;0,00
4720751;FAL;1310-111786;337044;2509557309867;1;2021-04-26;0,00
4720752;FAL;1310-111785;337045;2509557309874;1;2021-04-26;0,00
4720753;FAL;1321-104021;337164;2509557309881;1;2021-04-26;0,00
4720754;FAL;1321-104020;337165;2509557309898;1;2021-04-26;0,00
4720755;FAL;1321-104019;337166;2509557309904;1;2021-04-26;0,00
4720756;FAL;1321-104018;337167;2509557309911;1;2021-04-26;0,00
4720757;FAL;1321-104017;337169;2509557309928;1;2021-04-26;0,00
4720758;FAL;1321-104016;337170;2509557309935;1;2021-04-26;0,00
4720759;FAL;1321-104015;337172;2509557309942;1;2021-04-26;0,00
4720760;FAL;1321-104014;337178;2509557309959;1;2021-04-26;0,00
4720761;FAL;1321-104013;337249;2509557309966;1;2021-04-26;0,00
4720762;FAL;1321-104012;337250;2509557309973;1;2021-04-26;0,00
4720763;FAL;1321-104011;337251;2509557309980;1;2021-04-26;0,00
4720764;FAL;1321-104010;337252;2509557309997;1;2021-04-26;0,00
4720765;FAL;1321-104009;337254;2509557310009;1;2021-04-26;0,00
4720766;FAL;1320-124165;337289;2509557310016;1;2021-04-26;0,00
4720767;FAL;1320-124164;337291;2509557310023;1;2021-04-26;0,00
4720768;FAL;1321-104008;337292;2509557310030;1;2021-04-26;0,00
4720769;FAL;1321-104007;337293;2509557310047;1;2021-04-26;0,00
4720770;FAL;1321-104006;337294;2509557310054;1;2021-04-26;0,00
4720771;FAL;1321-104005;337295;2509557310061;1;2021-04-26;0,00
4720772;FAL;1321-104004;337296;2509557310078;1;2021-04-26;0,00
4720773;FAL;1320-124163;337388;2509557310085;1;2021-04-26;0,00
4720774;FAL;1320-124162;337389;2509557310092;1;2021-04-26;0,00
4720775;FAL;1320-124161;337390;2509557310108;1;2021-04-26;0,00
4720776;FAL;1320-124160;337391;2509557310115;1;2021-04-26;0,00
4720777;FAL;1320-124159;337394;2509557310122;1;2021-04-26;0,00
4720778;FAL;1320-124158;337395;2509557310139;1;2021-04-26;0,00
4720779;FAL;1320-124157;337396;2509557310146;1;2021-04-26;0,00
4720780;FAL;1320-124156;337397;2509557310153;1;2021-04-26;0,00
4720781;FAL;1320-124155;337398;2509557310160;1;2021-04-26;0,00
4720782;FAL;1310-111784;337457;2509557310177;1;2021-04-26;0,00
4720783;FAL;1310-111783;337458;2509557310184;1;2021-04-26;0,00
4720784;FAL;1310-111782;337459;2509557310191;1;2021-04-26;0,00
4720785;FAL;1310-111781;337460;2509557310207;1;2021-04-26;0,00
4720786;FAL;1310-111780;337461;2509557310214;1;2021-04-26;0,00
4720787;FAL;1320-124154;338063;2509557310221;1;2021-04-26;0,00
4720788;FAL;1320-124153;338314;2509557310238;1;2021-04-26;0,00
4720789;FAL;1321-104003;338647;2509557310245;1;2021-04-26;0,00
4720790;FAL;1310-111779;338722;2509557310252;1;2021-04-26;0,00
4720791;FAL;1320-124152;338833;2509557310269;1;2021-04-26;0,00
4720792;FAL;1320-124151;338834;2509557310276;1;2021-04-26;0,00
4720793;FAL;1310-111778;339082;2509557310283;1;2021-04-26;0,00
4720794;FAL;1321-104002;339083;2509557310290;1;2021-04-26;0,00
4720795;FAL;1310-111777;339172;2509557310306;1;2021-04-26;0,00
4720796;FAL;1310-111776;339173;2509557310313;1;2021-04-26;0,00
4720797;FAL;1310-111775;339174;2509557310320;1;2021-04-26;0,00
4720798;FAL;1310-111774;339175;2509557310337;1;2021-04-26;0,00
4720799;FAL;1310-111773;339176;2509557310344;1;2021-04-26;0,00
4720800;FAL;1310-111772;339177;2509557310351;1;2021-04-26;0,00
4720801;FAL;1320-124150;339178;2509557310368;1;2021-04-26;0,00
4720802;FAL;1320-124149;339179;2509557310375;1;2021-04-26;0,00
4720803;FAL;1320-124148;339180;2509557310382;1;2021-04-26;0,00
4720804;FAL;1320-124147;339181;2509557310399;1;2021-04-26;0,00
4720805;FAL;1320-124146;339182;2509557310405;1;2021-04-26;0,00
4720806;FAL;1320-124145;339183;2509557310412;1;2021-04-26;0,00
4720807;FAL;1320-124144;339184;2509557310429;1;2021-04-26;0,00
4720808;FAL;1320-124143;339185;2509557310436;1;2021-04-26;0,00
4720809;FAL;1320-124142;339186;2509557310443;1;2021-04-26;0,00
4720810;FAL;1320-124141;339187;2509557310450;1;2021-04-26;0,00
4720811;FAL;1320-124140;339188;2509557310467;1;2021-04-26;0,00
4720812;FAL;1320-124139;339189;2509557310474;1;2021-04-26;0,00
4720813;FAL;1320-124138;339190;2509557310481;1;2021-04-26;0,00
4720814;FAL;1320-124137;339191;2509557310498;1;2021-04-26;0,00
4720815;FAL;1320-124136;339192;2509557310504;1;2021-04-26;0,00
4720816;FAL;1320-124135;339193;2509557310511;1;2021-04-26;0,00
4720817;FAL;1320-124134;339194;2509557310528;1;2021-04-26;0,00
4720818;FAL;1320-124133;339195;2509557310535;1;2021-04-26;0,00
4720819;FAL;1320-124132;339196;2509557310542;1;2021-04-26;0,00
4720820;FAL;1320-124131;339197;2509557310559;1;2021-04-26;0,00
4720821;FAL;1320-124130;339219;2509557310566;1;2021-04-26;0,00
4720822;FAL;1310-111771;339303;2509557310573;1;2021-04-26;0,00
4720823;FAL;1321-104001;339304;2509557310580;1;2021-04-26;0,00
4720824;FAL;1321-104000;339305;2509557310597;1;2021-04-26;0,00
4720825;FAL;1321-103999;339307;2509557310603;1;2021-04-26;0,00
4720826;FAL;1321-103998;339308;2509557310610;1;2021-04-26;0,00
4720827;FAL;1321-103997;339309;2509557310627;1;2021-04-26;0,00
4720828;FAL;1320-124129;339673;2509557310634;1;2021-04-26;0,00
4720829;FAL;1320-124128;339676;2509557310641;1;2021-04-26;0,00
4720830;FAL;1320-124127;339679;2509557310658;1;2021-04-26;0,00
4720831;FAL;1320-124126;339684;2509557310665;1;2021-04-26;0,00
4720832;FAL;1320-124125;339685;2509557310672;1;2021-04-26;0,00
4720833;FAL;1320-124124;339736;2509557310689;1;2021-04-26;0,00
4720834;FAL;1310-111770;339832;2509557310696;1;2021-04-26;0,00
4720835;FAL;1321-103996;350112;2509557310702;1;2021-04-26;0,00
4720836;FAL;1321-103995;350114;2509557310719;1;2021-04-26;0,00
4720837;FAL;1321-103994;350115;2509557310726;1;2021-04-26;0,00
4720838;FAL;1321-103993;350116;2509557310733;1;2021-04-26;0,00
4720839;EIB;1540-193756;F67-15-005-01-HA;2509557310740;8;2021-04-26;0,00
4720840;OED;1610-178917;N90344501;2509557310757;1;2021-04-29;0,00
4720841;TFR;2320-158621;4990 861 0 202;2509557310764;1;2021-04-29;0,00
4720842;OSR;1020-131598;LEDHL109-BK LHD;4062172169639;1;2021-04-29;0,00
4720843;OSR;1020-131599;LEDHL109-GTI LHD;4062172169622;1;2021-04-29;0,00
4720844;EAL;2350-102663;90741y006;2509557310795;8;2021-04-29;0,00
