:Id;:ImageName;:Caption;:Log.CreatedBy;:Log.CreatedAt;:Log.LastModBy;:Log.LastModAt;PriceTypeNo;Designation <en>;Designation <de>;Designation <pl>;Designation <cs>;Designation <da>;Designation <es>;Designation <fi>;Designation <fr>;Designation <it>;Designation <nl>;Designation <no>;Designation <sv>;Designation <tr>;:Subtype
95B5C45E-7D9F-4A9B-B0E0-50BD157942D2;Lookup.PriceTypes;BULKYGDSSUR;KFZTEILE24\christian.zur;2018-08-30 11:18:35.733;KFZTEILE24\christian.zur;2018-08-30 11:18:35.733;BULKYGDSSUR;Bulky Goods Surcharge;Sperrgutaufschlag;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
FC8D0668-19F4-4040-B571-06A521116F84;Lookup.PriceTypes;CUSTDEP;KFZTEILE24\christian.zur;2018-08-30 11:18:35.817;KFZTEILE24\christian.zur;2018-08-30 11:18:35.817;CUSTDEP;Customer Deposit;Pfand;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
3F9ABFF6-CB09-4FAD-99BE-19946A71F16C;Lookup.PriceTypes;DANGERGDSSUR;KFZTEILE24\christian.zur;2018-08-30 11:18:35.870;KFZTEILE24\christian.zur;2018-08-30 11:18:35.870;DANGERGDSSUR;Dangerous Goods Surcharge;Gefahrgutaufschlag;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
16943097-4063-48B1-86AA-0864FFB8022B;Lookup.PriceTypes;UVP;KFZTEILE24\christian.zur;2017-01-19 11:07:13.220;KFZTEILE24\christian.zur;2017-01-19 11:07:13.220;UVP;NULL;Unverbindliche Preisempfehlung;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
