:Id;:ImageName;:Caption;:Log.CreatedBy;:Log.CreatedAt;:Log.LastModBy;:Log.LastModAt;PriceUnitNo;Amount;TecDocPriceUnit:Link;Designation <en>;Designation <de>;Designation <pl>;Designation <cs>;Designation <da>;Designation <es>;Designation <fi>;Designation <fr>;Designation <it>;Designation <nl>;Designation <no>;Designation <sv>;Designation <tr>;:Subtype
36C3D6AA-666E-469D-BFF1-570C022CE735;Lookup.PriceUnits;1;KFZTEILE24\christian.zur;2016-12-20 08:56:28.530;KFZTEILE24\christian.zur;2016-12-20 08:56:28.530;1;1;NULL;NULL;per 1 Stück;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
ECD35D43-1244-46B1-81C2-37A91F0C9E9E;Lookup.PriceUnits;2;KFZTEILE24\christian.zur;2016-12-20 08:56:44.843;KFZTEILE24\christian.zur;2016-12-20 08:56:44.843;2;100;NULL;NULL;per 100 Stück;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
7630B2EB-246F-4802-97C2-AAF78AE71895;Lookup.PriceUnits;3;KFZTEILE24\christian.zur;2016-12-20 08:57:01.677;KFZTEILE24\christian.zur;2016-12-20 08:57:01.677;3;1000;NULL;NULL;per 1000 Stück;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
8E6BE5F9-1BF6-4A7F-B4F1-015750A855E9;Lookup.PriceUnits;4;KFZTEILE24\christian.zur;2016-12-20 08:57:18.430;KFZTEILE24\christian.zur;2016-12-20 08:57:18.430;4;10;NULL;NULL;per 10 Stück;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
